Date,Port,Weight,TEU
2020-03-01,"DULUTH, MN - SUPERIOR, WI",29435,1
2020-07-01,"HARTFORD, CT",30855,1
2019-09-01,"CARQUINEZ STRAIT, CA",28716,1
2020-07-01,"ERIE, PA",46503,1
2019-06-01,"KALAMA, WA",39700,1
2020-07-01,"BLAINE, WA",31432,1
2021-02-01,"BATTLE CREEK, MI",24299,1
2019-03-01,"SAN PABLO BAY, CA",26064,1
2020-02-01,"ALEXANDRIA BAY, NY",27390,1
2019-04-01,"BROWNSVILLE, TX",41908,1
2020-04-01,"GEORGETOWN, SC",41180,1
2019-04-01,"FERNANDINA, FL",44600,1
2020-03-01,"FALL RIVER, MA",36834,1
2020-04-01,"ERIE, PA",37504,1
2020-07-01,"ALBANY, NY",32082,1
2019-07-01,"KALAMA, WA",29725,1
2019-06-01,"FALL RIVER, MA",28231,1
2019-07-01,"EUREKA, CA",25341,1
2021-02-01,"VENTURA, CA",41721,1
2020-03-01,"HARTFORD, CT",41790,1
2019-01-01,"ANNAPOLIS, MD",26478,1
2019-06-01,"GEORGETOWN, SC",28751,1
2019-09-01,"FERNANDINA, FL",32236,1
2019-01-01,"ASTORIA, OR",38652,1
2020-08-01,"MASSENA, NY",32138,1
2020-02-01,"ANNAPOLIS, MD",30201,1
2019-04-01,"BRIDGEPORT, CT",42330,1
2019-07-01,"CARQUINEZ STRAIT, CA",39621,1
2020-03-01,"BLAINE, WA",38686,1
2020-08-01,"ERIE, PA",24839,1
2020-10-01,"STOCKTON, CA",44986,1
2020-07-01,"STOCKTON, CA",44361,1
2020-10-01,"SITKA, AK",25534,1
2019-03-01,"RICHMOND-PETERSBURG, VA",25446,1
2019-03-01,"SAGINAW-BAY CITY, MI",31656,1
2020-07-01,"RICHMOND-PETERSBURG, VA",27814,1
2020-02-01,"PENSACOLA, FL",32120,1
2019-08-01,"ERIE, PA",29038,1
2019-07-01,"TEXAS CITY, TX",46135,1
2019-08-01,"CARQUINEZ STRAIT, CA",42464,1
2019-08-01,"BATTLE CREEK, MI",33844,1
2019-01-01,"EL SEGUNDO, CA",28163,1
2021-03-01,"ANNAPOLIS, MD",35093,1
2019-08-01,"FALL RIVER, MA",27248,1
2020-04-01,"GLOUCESTER, MA",29595,1
2021-02-01,"SABINE, TX",26349,1
2020-02-01,"LONGVIEW, WA",26511,1
2020-09-01,"ALEXANDRIA BAY, NY",33643,1
2019-01-01,"ERIE, PA",35755,1
2019-06-01,"NEWPORT, RI",44328,1
2019-09-01,"AGUADILLA, PR",40775,1
2019-04-01,"BELLINGHAM, WA",31937,1
2021-02-01,"RICHMOND-PETERSBURG, VA",37060,1
2021-03-01,"ALEXANDRIA BAY, NY",24022,1
2019-01-01,"CALAIS, ME",24858,1
2021-01-01,"BLAINE, WA",33584,1
2021-01-01,"TOLEDO-SANDUSKY, OH",36683,1
2019-01-01,"CHAMPLAIN-ROUSES POINT, NY",24061,1
2019-07-01,"RICHMOND-PETERSBURG, VA",47435,1
2020-08-01,"STOCKTON, CA",36279,1
2019-03-01,"PORTSMOUTH, NH",28286,1
2021-03-01,"RACINE, WI",31100,1
2019-09-01,"ASHTABULA-CONNEAUT, OH",38089,1
2021-01-01,"DULUTH, MN - SUPERIOR, WI",29816,1
2021-02-01,"VICKSBURG, MS",25024,1
2020-10-01,"CHAMPLAIN-ROUSES POINT, NY",46826,1
2020-12-01,"DULUTH, MN - SUPERIOR, WI",36883,1
2019-04-01,"RICHMOND-PETERSBURG, VA",47998,1
2020-04-01,"RICHMOND-PETERSBURG, VA",31684,1
2019-02-01,"TOLEDO-SANDUSKY, OH",24919,1
2021-02-01,"MILWAUKEE, WI",29591,1
2020-06-01,"CHAMPLAIN-ROUSES POINT, NY",47838,1
2019-05-01,"PEORIA, IL",44418,1
2020-05-01,"ANNAPOLIS, MD",40474,1
2019-05-01,"ERIE, PA",47481,1
2021-02-01,"LOUISVILLE, KY",27062,1
2020-12-01,"ALEXANDRIA BAY, NY",25045,1
2019-05-01,"PROVIDENCE, RI",43856,1
2019-11-01,"PORT ARTHUR, TX",38590,1
2020-11-01,"LONGVIEW, WA",43791,1
2020-05-01,"PASCAGOULA, MS",39367,1
2021-03-01,"ERIE, PA",42622,1
2019-05-01,"PENSACOLA, FL",47400,1
2019-09-01,"PASCAGOULA, MS",27013,1
2020-05-01,"STOCKTON, CA",39181,1
2019-04-01,"PORT SAN LUIS, CA",29766,1
2020-09-01,"TOLEDO-SANDUSKY, OH",36900,1
2019-11-01,"CRISFIELD, MD",39783,1
2021-02-01,"MORRO BAY, CA",25800,1
2020-09-01,"LOUISVILLE, KY",47244,1
2019-05-01,"OLYMPIA, WA",32350,1
2019-12-01,"STOCKTON, CA",30436,1
2020-12-01,"CRISFIELD, MD",43250,1
2019-03-01,"ALEXANDRIA BAY, NY",24258,1
2019-11-01,"DULUTH, MN - SUPERIOR, WI",47347,1
2019-11-01,"FERNANDINA, FL",44046,1
2020-11-01,"LOUISVILLE, KY",32469,1
2019-10-01,"TEXAS CITY, TX",43215,1
2020-11-01,"KETCHIKAN, AK",42846,1
2021-03-01,"DULUTH, MN - SUPERIOR, WI",40129,1
2020-05-01,"BLAINE, WA",32309,1
2019-03-01,"BOCA GRANDE, FL",29401,1
2019-01-01,"STOCKTON, CA",26950,1
2019-04-01,"GRAMERCY, LA",34972,1
2020-06-01,"PORT SAN LUIS, CA",41997,1
2019-09-01,"PEORIA, IL",28338,1
2019-04-01,"GREENVILLE, MS",26048,1
2019-05-01,"ANACORTES, WA",31071,1
2020-11-01,"BROWNSVILLE, TX",45380,1
2019-12-01,"GRAMERCY, LA",32663,1
2020-12-01,"PORT ANGELES, WA",31020,1
2020-11-01,"DULUTH, MN - SUPERIOR, WI",26388,1
2020-10-01,"BLAINE, WA",29291,1
2019-02-01,"ALEXANDRIA BAY, NY",25730,1
2019-03-01,"BLAINE, WA",30334,1
2019-02-01,"ANNAPOLIS, MD",32947,1
2021-03-01,"MASSENA, NY",37240,1
2019-10-01,"BROWNSVILLE, TX",45091,1
2021-03-01,"HURON, OH",24879,1
2020-04-01,"NEWPORT, RI",44078,1
2021-02-01,"CHARLOTTE AMALIE, VI",30165,1
2021-02-01,"HARTFORD, CT",33787,1
2019-12-01,"BLAINE, WA",33550,1
2021-02-01,"CHAMPLAIN-ROUSES POINT, NY",32371,1
2020-12-01,"LOUISVILLE, KY",34963,1
2020-05-01,"LOUISVILLE, KY",34962,1
2019-04-01,"MAYAGUEZ, PR",27129,1
