,,Weight,Weight,Weight,Weight,Weight,Weight,Value,Value,Value,Value,Value,Value,Item_Count,Item_Count,Item_Count,Item_Count,Item_Count,Item_Count
ENDUSE,,"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","CAPITAL GOODS, EXCEPT AUTOMOTIVE",CONSUMER GOODS,"FOODS, FEEDS, AND BEVERAGES",INDUSTRIAL SUPPLIES AND MATERIALS,OTHER GOODS,"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","CAPITAL GOODS, EXCEPT AUTOMOTIVE",CONSUMER GOODS,"FOODS, FEEDS, AND BEVERAGES",INDUSTRIAL SUPPLIES AND MATERIALS,OTHER GOODS,"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","CAPITAL GOODS, EXCEPT AUTOMOTIVE",CONSUMER GOODS,"FOODS, FEEDS, AND BEVERAGES",INDUSTRIAL SUPPLIES AND MATERIALS,OTHER GOODS
Date,District,,,,,,,,,,,,,,,,,,
2019-01,"ANCHORAGE, AK",19114,0,42059,1090172,2286933,0,6596518,1098710823,68164968,1832484,61030372,67018922,619,20995,5946,22,3275,2557
2019-01,"BALTIMORE, MD",15942594,36474549,56644367,100667211,286643043,943174,1111213024,641762537,490272192,346314325,922815078,55412499,9739,11622,25661,7947,12927,266
2019-01,"BOSTON, MA",3340796,9537160,27496933,18490619,43797453,516778,86232581,539253814,484133373,109523527,653687983,69007493,959,22766,18651,3203,8225,1942
2019-01,"BUFFALO, NY",430134,1756035,911040,227017,2238372,267313,652894178,476261002,425922475,279167848,993546321,187403431,26998,31124,43328,24312,52452,9098
2019-01,"CHARLESTON, SC",71530313,111773093,109779437,38911303,327532132,1474800,579518966,1414238908,794851273,125365702,1009844421,46313276,23546,35365,49809,2605,31010,691
2019-01,"CHICAGO, IL",61372929,126756238,172872806,77285845,229514643,2622859,600060209,4622642482,6712493973,263316329,2762132324,1026185510,28067,167786,118065,8351,72106,7969
2019-01,"CLEVELAND, OH",52438712,63180769,97493942,19561752,156446016,1518773,589621247,3654942970,2683515427,81232966,900914830,457109737,23443,176567,144303,2090,49913,19099
2019-01,"COLUMBIA-SNAKE, OR",5189192,6387050,8347471,8427705,33563453,469937,754650542,145996336,86843118,15845233,209285666,14564081,1700,4589,7155,475,3258,572
2019-01,"DALLAS-FORT WORTH, TX",32029519,45344364,101164287,4916023,72545945,197176,159866053,1625778501,1747189795,19772887,357896928,293289968,11673,47233,62158,1023,23541,4636
2019-01,"DETROIT, MI",20995526,14129392,10163636,18516406,28858241,264803,4156161556,1555465059,1087083420,574543750,2474126820,463320641,210139,66377,70874,44019,127455,21136
2019-01,"DULUTH, MN",0,11794,25395,0,15843,0,651253,25579535,57632146,51088102,745476323,2201080,128,783,5470,1711,17317,61
2019-01,"EL PASO, TX",3581166,7999469,4189793,1659144,4734452,42010,1409991675,3271842561,422123935,164924325,260858973,62111496,106638,118351,50920,6149,39053,5768
2019-01,"GREAT FALLS, MT",2142583,19266994,26594658,6648645,24637409,150076,56608595,393733502,249248816,257875671,1158644415,136598542,2133,11814,16163,8954,24596,4837
2019-01,"HONOLULU, HI",60355,1334123,2555816,5567704,62944288,1304,23563166,11811749,19696050,14609399,182194219,12015106,137,237,4683,1006,892,59
2019-01,"HOUSTON-GALVESTON, TX",23476816,135314478,142314982,183312397,619596997,4418158,553768894,2124483476,679638274,436756313,3995641066,184665945,16821,36313,40858,10939,36157,2685
2019-01,"LAREDO, TX",1576864,4567971,1101570,1867964,4040453,18409,6179509652,4000889211,1598106114,1514300089,1387649098,194495534,294138,198640,161129,85802,105976,14686
2019-01,"LOS ANGELES, CA",224940201,366592308,1385580345,489544749,780089980,4607851,2604859510,7173162121,12013750888,1181444169,3405578861,380703754,74890,176688,676450,34697,106293,9093
2019-01,LOW VALUE,,,,,,0,,,,,,1512373821,,,,,,222
2019-01,"MIAMI, FL",13615264,27987288,90775468,262165913,201015610,7741078,134148493,712249392,1549604732,635603014,543906978,397708005,7541,20222,96602,27541,15155,6869
2019-01,"MILWAUKEE, WI",194688,5134160,998414,0,200211,4272,4598166,46962267,21545934,7987504,7533537,3394700,287,3816,1214,32,637,109
2019-01,"MINNEAPOLIS, MN",5578351,20017835,26640402,7896667,40126259,539179,52434676,332443736,216930418,26228840,547891037,16797091,2295,13214,13975,832,8719,843
2019-01,"MOBILE, AL",27985396,16472353,27709250,59034415,84153934,551078,260110687,380130268,406494751,27276232,1107468300,113317008,7957,6311,21524,1280,6505,160
2019-01,"NEW ORLEANS, LA",38208268,61112007,81459301,43967394,357889195,1157746,527385495,3748899904,2396002636,175342966,3480460946,590533682,21871,123214,84049,1768,45409,23902
2019-01,"NEW YORK CITY, NY",92401996,140515922,582874425,740413314,681101014,6456525,1407235647,3100818025,8851006176,1772375436,4273587018,825405036,44930,98831,468570,63254,94431,10950
2019-01,"NOGALES, AZ",32562,456525,9875317,71182,958410,6291,368166634,561146401,124397651,526788372,162480770,115302042,17757,31393,13625,46704,7197,6000
2019-01,"NORFOLK, VA",43753119,76867138,165333332,78164314,221601401,1751321,274227361,956042074,1027404613,202299579,528764303,48101185,7598,22669,61452,6035,20782,869
2019-01,"OGDENSBURG, NY",0,8244,446,0,18273,0,153347169,323802191,466330595,200684083,1258704886,88866049,7239,15450,47119,14298,47987,4824
2019-01,"PEMBINA, ND",8526,361134,666,0,34732,0,94864822,277064645,158314937,232491076,786641427,121297257,3344,11869,9125,11308,29331,4362
2019-01,"PHILADELPHIA, PA",15918524,20173580,29654742,419584979,91763763,1130595,380821340,493071702,1634694923,891585777,1745376866,77764797,11767,25221,34904,17238,15086,1755
2019-01,"PORT ARTHUR, TX",0,0,0,,24633547,0,0,20239030,1705754,,985791720,10071780,1,7,2,,240,5
2019-01,"PORTLAND, ME",4599,305322,431411,4353666,3614586,15978,37045071,153911662,42377795,184410357,398964401,75132797,3315,851,2672,8291,9116,811
2019-01,"PROVIDENCE, RI",0,891,2495,0,0,17690,856405536,1329117,11500547,2573902,128901635,54295,17871,25,745,3,79,3
2019-01,"SAN DIEGO, CA",606050,534233,2276375,54459895,186817,350,1204189171,1097836208,822508891,350564999,214107008,151307399,18863,57334,61923,28546,28632,9642
2019-01,"SAN FRANCISCO, CA",27154294,70976164,115073497,188155937,257977793,3016454,871624455,2885448580,913511722,495568079,1685339244,178119082,13928,63371,86954,14204,21854,6452
2019-01,"SAN JUAN, PR",4696735,6745370,19027602,45270715,266790714,416709,98511543,113226017,1106683365,94822141,670210552,10693199,1171,2751,7154,2415,3390,343
2019-01,"SAVANNAH, GA",104104363,186763783,381593301,126414965,497486389,4859121,1625940918,3261522735,3344158503,667014869,1610265388,283111783,33424,79778,163461,8433,63282,5327
2019-01,"SEATTLE, WA",27202531,58278164,173923230,86093592,154807483,1863494,555738531,1663757922,1419226879,390721515,1489997306,248569226,10815,37640,96186,19500,50430,7273
2019-01,"ST. ALBANS, VT",0,0,960,0,0,7402,13697273,158173216,50269531,51891441,275736466,21835660,1080,8272,7793,3059,18380,1393
2019-01,"ST. LOUIS, MO",15973337,40611115,64144554,21806967,94797686,2634196,72056769,378330290,444279343,65425925,601623947,76564099,4743,15558,27078,1855,14100,1813
2019-01,"TAMPA, FL",16229471,30173940,54191390,91063771,124781764,396406,1117241324,326457949,378498324,184839076,554827146,30962377,12473,6261,33207,2729,7527,724
2019-01,U.S. VIRGIN ISLANDS,56790,8230,32640,1766644,161611,6790,135666,145864,939791,1889547,124849831,35252,20,6,52,75,18,5
2019-01,VESSELS UNDER OWN POWER,,0,,,,,,126201,,,,,,2,,,,
2019-01,"WASHINGTON, DC",6796,9286,645134,13692,12259,26,13339645,198365237,397236542,4396964,26080697,21457240,828,7395,3958,348,2417,421
2019-01,"WILMINGTON, NC",6345616,22940926,36869546,3171819,88926953,241879,36572000,363881604,952537280,13314192,259672528,293973852,1756,14561,20184,255,9812,928
2019-02,"ANCHORAGE, AK",0,147915,11808,412671,3448954,0,4765632,943595835,52750989,1240435,82506798,93052481,532,18717,5025,20,2740,2342
2019-02,"BALTIMORE, MD",19084569,35736850,60714275,75380893,214450569,793908,1349696672,653548430,498626369,264538420,759814581,21649567,10867,11917,25470,5936,11813,281
2019-02,"BOSTON, MA",5038480,9472224,25103191,31911619,33365696,569612,66560658,535997070,480656793,109022974,511510694,90659781,1107,23630,17708,3572,8030,1955
2019-02,"BUFFALO, NY",486397,1555185,459538,241616,2859553,33138,731654527,477205512,537632534,270584908,887606819,170881579,30013,32729,46320,23927,51405,9085
2019-02,"CHARLESTON, SC",73285596,83160701,100682706,33409570,270474980,1227653,549577276,1203061921,721746153,101245746,920469461,60874312,26205,34006,44939,2187,29206,821
2019-02,"CHICAGO, IL",52343054,107663954,144019680,87472417,201403748,2212527,544186314,3954933166,5001579469,234164935,2716801059,1019116526,26187,157901,103789,7151,65832,8647
2019-02,"CLEVELAND, OH",48984082,50521676,84543802,13942537,131252773,1397971,581495012,3432409224,2112364834,59242608,742555448,407921601,21981,158099,125709,1707,47275,17658
2019-02,"COLUMBIA-SNAKE, OR",4035024,4208774,8959436,5299948,20391243,99612,605023325,136998856,66123024,7299537,174472729,10744411,2090,4530,5867,271,3153,497
2019-02,"DALLAS-FORT WORTH, TX",23542130,31826332,80357027,4484068,61720704,169160,123303888,1481072196,1975777450,20143129,491902599,242612561,7384,43714,56960,973,19871,4445
2019-02,"DETROIT, MI",18088501,11240338,8380317,4009615,27236832,580047,4084100133,1781314871,965640949,552335780,2175943085,506173917,215322,64425,65312,41791,118571,19392
2019-02,"DULUTH, MN",0,19130,70954,0,3370,0,1736617,10072905,48294325,40908501,489621170,1830701,226,738,4603,1235,14698,67
2019-02,"EL PASO, TX",2246940,8349216,4062910,1546631,4775050,5209,1280955977,2677623244,410476597,156112740,258882661,56473140,103981,112802,51085,6191,38559,5397
2019-02,"GREAT FALLS, MT",1911271,16176084,22670008,3527594,23861843,156484,43611536,329401526,195556516,226393741,1154788460,104935784,1638,11290,14728,8148,18878,3951
2019-02,"HONOLULU, HI",73554,504718,3281213,5090349,18717690,17246,24936404,13917357,19854232,14787458,147294573,17306744,133,221,3774,967,835,66
