,variable,value
0,ENDUSE,"FOODS, FEEDS, AND BEVERAGES"
1,ENDUSE,"FOODS, FEEDS, AND BEVERAGES"
2,ENDUSE,"FOODS, FEEDS, AND BEVERAGES"
3,ENDUSE,"FOODS, FEEDS, AND BEVERAGES"
4,ENDUSE,"FOODS, FEEDS, AND BEVERAGES"
5,ENDUSE,"FOODS, FEEDS, AND BEVERAGES"
6,ENDUSE,"FOODS, FEEDS, AND BEVERAGES"
7,ENDUSE,"FOODS, FEEDS, AND BEVERAGES"
8,ENDUSE,"FOODS, FEEDS, AND BEVERAGES"
9,ENDUSE,"FOODS, FEEDS, AND BEVERAGES"
10,ENDUSE,"FOODS, FEEDS, AND BEVERAGES"
11,ENDUSE,"FOODS, FEEDS, AND BEVERAGES"
12,ENDUSE,"FOODS, FEEDS, AND BEVERAGES"
13,ENDUSE,"FOODS, FEEDS, AND BEVERAGES"
14,ENDUSE,"FOODS, FEEDS, AND BEVERAGES"
15,ENDUSE,"FOODS, FEEDS, AND BEVERAGES"
16,ENDUSE,"FOODS, FEEDS, AND BEVERAGES"
17,ENDUSE,"FOODS, FEEDS, AND BEVERAGES"
18,ENDUSE,"FOODS, FEEDS, AND BEVERAGES"
19,ENDUSE,"FOODS, FEEDS, AND BEVERAGES"
20,ENDUSE,"FOODS, FEEDS, AND BEVERAGES"
21,ENDUSE,"FOODS, FEEDS, AND BEVERAGES"
22,ENDUSE,"FOODS, FEEDS, AND BEVERAGES"
23,ENDUSE,"FOODS, FEEDS, AND BEVERAGES"
24,ENDUSE,"FOODS, FEEDS, AND BEVERAGES"
25,ENDUSE,"FOODS, FEEDS, AND BEVERAGES"
26,ENDUSE,"FOODS, FEEDS, AND BEVERAGES"
27,ENDUSE,"FOODS, FEEDS, AND BEVERAGES"
28,ENDUSE,"FOODS, FEEDS, AND BEVERAGES"
29,ENDUSE,"FOODS, FEEDS, AND BEVERAGES"
30,ENDUSE,"FOODS, FEEDS, AND BEVERAGES"
31,ENDUSE,"FOODS, FEEDS, AND BEVERAGES"
32,ENDUSE,"FOODS, FEEDS, AND BEVERAGES"
33,ENDUSE,"FOODS, FEEDS, AND BEVERAGES"
34,ENDUSE,"FOODS, FEEDS, AND BEVERAGES"
35,ENDUSE,"FOODS, FEEDS, AND BEVERAGES"
36,ENDUSE,"FOODS, FEEDS, AND BEVERAGES"
37,ENDUSE,"FOODS, FEEDS, AND BEVERAGES"
38,ENDUSE,"FOODS, FEEDS, AND BEVERAGES"
39,ENDUSE,"FOODS, FEEDS, AND BEVERAGES"
40,ENDUSE,"FOODS, FEEDS, AND BEVERAGES"
41,ENDUSE,INDUSTRIAL SUPPLIES AND MATERIALS
42,ENDUSE,INDUSTRIAL SUPPLIES AND MATERIALS
43,ENDUSE,INDUSTRIAL SUPPLIES AND MATERIALS
44,ENDUSE,INDUSTRIAL SUPPLIES AND MATERIALS
45,ENDUSE,INDUSTRIAL SUPPLIES AND MATERIALS
46,ENDUSE,INDUSTRIAL SUPPLIES AND MATERIALS
47,ENDUSE,INDUSTRIAL SUPPLIES AND MATERIALS
48,ENDUSE,INDUSTRIAL SUPPLIES AND MATERIALS
49,ENDUSE,INDUSTRIAL SUPPLIES AND MATERIALS
50,ENDUSE,INDUSTRIAL SUPPLIES AND MATERIALS
51,ENDUSE,INDUSTRIAL SUPPLIES AND MATERIALS
52,ENDUSE,INDUSTRIAL SUPPLIES AND MATERIALS
53,ENDUSE,INDUSTRIAL SUPPLIES AND MATERIALS
54,ENDUSE,INDUSTRIAL SUPPLIES AND MATERIALS
55,ENDUSE,INDUSTRIAL SUPPLIES AND MATERIALS
56,ENDUSE,INDUSTRIAL SUPPLIES AND MATERIALS
57,ENDUSE,INDUSTRIAL SUPPLIES AND MATERIALS
58,ENDUSE,INDUSTRIAL SUPPLIES AND MATERIALS
59,ENDUSE,INDUSTRIAL SUPPLIES AND MATERIALS
60,ENDUSE,INDUSTRIAL SUPPLIES AND MATERIALS
61,ENDUSE,INDUSTRIAL SUPPLIES AND MATERIALS
62,ENDUSE,INDUSTRIAL SUPPLIES AND MATERIALS
63,ENDUSE,INDUSTRIAL SUPPLIES AND MATERIALS
64,ENDUSE,INDUSTRIAL SUPPLIES AND MATERIALS
65,ENDUSE,INDUSTRIAL SUPPLIES AND MATERIALS
66,ENDUSE,INDUSTRIAL SUPPLIES AND MATERIALS
67,ENDUSE,INDUSTRIAL SUPPLIES AND MATERIALS
68,ENDUSE,INDUSTRIAL SUPPLIES AND MATERIALS
69,ENDUSE,INDUSTRIAL SUPPLIES AND MATERIALS
70,ENDUSE,INDUSTRIAL SUPPLIES AND MATERIALS
71,ENDUSE,INDUSTRIAL SUPPLIES AND MATERIALS
72,ENDUSE,INDUSTRIAL SUPPLIES AND MATERIALS
73,ENDUSE,INDUSTRIAL SUPPLIES AND MATERIALS
74,ENDUSE,INDUSTRIAL SUPPLIES AND MATERIALS
75,ENDUSE,INDUSTRIAL SUPPLIES AND MATERIALS
76,ENDUSE,INDUSTRIAL SUPPLIES AND MATERIALS
77,ENDUSE,INDUSTRIAL SUPPLIES AND MATERIALS
78,ENDUSE,INDUSTRIAL SUPPLIES AND MATERIALS
79,ENDUSE,INDUSTRIAL SUPPLIES AND MATERIALS
80,ENDUSE,INDUSTRIAL SUPPLIES AND MATERIALS
81,ENDUSE,INDUSTRIAL SUPPLIES AND MATERIALS
82,ENDUSE,INDUSTRIAL SUPPLIES AND MATERIALS
83,ENDUSE,"CAPITAL GOODS, EXCEPT AUTOMOTIVE"
84,ENDUSE,"CAPITAL GOODS, EXCEPT AUTOMOTIVE"
85,ENDUSE,"CAPITAL GOODS, EXCEPT AUTOMOTIVE"
86,ENDUSE,"CAPITAL GOODS, EXCEPT AUTOMOTIVE"
87,ENDUSE,"CAPITAL GOODS, EXCEPT AUTOMOTIVE"
88,ENDUSE,"CAPITAL GOODS, EXCEPT AUTOMOTIVE"
89,ENDUSE,"CAPITAL GOODS, EXCEPT AUTOMOTIVE"
90,ENDUSE,"CAPITAL GOODS, EXCEPT AUTOMOTIVE"
91,ENDUSE,"CAPITAL GOODS, EXCEPT AUTOMOTIVE"
92,ENDUSE,"CAPITAL GOODS, EXCEPT AUTOMOTIVE"
93,ENDUSE,"CAPITAL GOODS, EXCEPT AUTOMOTIVE"
94,ENDUSE,"CAPITAL GOODS, EXCEPT AUTOMOTIVE"
95,ENDUSE,"CAPITAL GOODS, EXCEPT AUTOMOTIVE"
96,ENDUSE,"CAPITAL GOODS, EXCEPT AUTOMOTIVE"
97,ENDUSE,"CAPITAL GOODS, EXCEPT AUTOMOTIVE"
98,ENDUSE,"CAPITAL GOODS, EXCEPT AUTOMOTIVE"
99,ENDUSE,"CAPITAL GOODS, EXCEPT AUTOMOTIVE"
100,ENDUSE,"CAPITAL GOODS, EXCEPT AUTOMOTIVE"
101,ENDUSE,"CAPITAL GOODS, EXCEPT AUTOMOTIVE"
102,ENDUSE,"CAPITAL GOODS, EXCEPT AUTOMOTIVE"
103,ENDUSE,"CAPITAL GOODS, EXCEPT AUTOMOTIVE"
104,ENDUSE,"CAPITAL GOODS, EXCEPT AUTOMOTIVE"
105,ENDUSE,"CAPITAL GOODS, EXCEPT AUTOMOTIVE"
106,ENDUSE,"CAPITAL GOODS, EXCEPT AUTOMOTIVE"
107,ENDUSE,"CAPITAL GOODS, EXCEPT AUTOMOTIVE"
108,ENDUSE,"CAPITAL GOODS, EXCEPT AUTOMOTIVE"
109,ENDUSE,"CAPITAL GOODS, EXCEPT AUTOMOTIVE"
110,ENDUSE,"CAPITAL GOODS, EXCEPT AUTOMOTIVE"
111,ENDUSE,"CAPITAL GOODS, EXCEPT AUTOMOTIVE"
112,ENDUSE,"CAPITAL GOODS, EXCEPT AUTOMOTIVE"
113,ENDUSE,"CAPITAL GOODS, EXCEPT AUTOMOTIVE"
114,ENDUSE,"CAPITAL GOODS, EXCEPT AUTOMOTIVE"
115,ENDUSE,"CAPITAL GOODS, EXCEPT AUTOMOTIVE"
116,ENDUSE,"CAPITAL GOODS, EXCEPT AUTOMOTIVE"
117,ENDUSE,"CAPITAL GOODS, EXCEPT AUTOMOTIVE"
118,ENDUSE,"CAPITAL GOODS, EXCEPT AUTOMOTIVE"
119,ENDUSE,"CAPITAL GOODS, EXCEPT AUTOMOTIVE"
120,ENDUSE,"CAPITAL GOODS, EXCEPT AUTOMOTIVE"
121,ENDUSE,"CAPITAL GOODS, EXCEPT AUTOMOTIVE"
122,ENDUSE,"CAPITAL GOODS, EXCEPT AUTOMOTIVE"
123,ENDUSE,"CAPITAL GOODS, EXCEPT AUTOMOTIVE"
124,ENDUSE,"CAPITAL GOODS, EXCEPT AUTOMOTIVE"
125,ENDUSE,"CAPITAL GOODS, EXCEPT AUTOMOTIVE"
126,ENDUSE,"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES"
127,ENDUSE,"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES"
128,ENDUSE,"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES"
129,ENDUSE,"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES"
130,ENDUSE,"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES"
131,ENDUSE,"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES"
132,ENDUSE,"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES"
133,ENDUSE,"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES"
134,ENDUSE,"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES"
135,ENDUSE,"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES"
136,ENDUSE,"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES"
137,ENDUSE,"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES"
138,ENDUSE,"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES"
139,ENDUSE,"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES"
140,ENDUSE,"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES"
141,ENDUSE,"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES"
142,ENDUSE,"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES"
143,ENDUSE,"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES"
144,ENDUSE,"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES"
145,ENDUSE,"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES"
146,ENDUSE,"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES"
147,ENDUSE,"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES"
148,ENDUSE,"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES"
149,ENDUSE,"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES"
150,ENDUSE,"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES"
151,ENDUSE,"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES"
152,ENDUSE,"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES"
153,ENDUSE,"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES"
154,ENDUSE,"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES"
155,ENDUSE,"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES"
156,ENDUSE,"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES"
157,ENDUSE,"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES"
158,ENDUSE,"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES"
159,ENDUSE,"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES"
160,ENDUSE,"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES"
161,ENDUSE,"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES"
162,ENDUSE,"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES"
163,ENDUSE,"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES"
164,ENDUSE,"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES"
165,ENDUSE,"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES"
166,ENDUSE,"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES"
167,ENDUSE,"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES"
168,ENDUSE,CONSUMER GOODS
169,ENDUSE,CONSUMER GOODS
170,ENDUSE,CONSUMER GOODS
171,ENDUSE,CONSUMER GOODS
172,ENDUSE,CONSUMER GOODS
173,ENDUSE,CONSUMER GOODS
174,ENDUSE,CONSUMER GOODS
175,ENDUSE,CONSUMER GOODS
176,ENDUSE,CONSUMER GOODS
177,ENDUSE,CONSUMER GOODS
178,ENDUSE,CONSUMER GOODS
179,ENDUSE,CONSUMER GOODS
180,ENDUSE,CONSUMER GOODS
181,ENDUSE,CONSUMER GOODS
182,ENDUSE,CONSUMER GOODS
183,ENDUSE,CONSUMER GOODS
184,ENDUSE,CONSUMER GOODS
185,ENDUSE,CONSUMER GOODS
186,ENDUSE,CONSUMER GOODS
187,ENDUSE,CONSUMER GOODS
188,ENDUSE,CONSUMER GOODS
189,ENDUSE,CONSUMER GOODS
190,ENDUSE,CONSUMER GOODS
191,ENDUSE,CONSUMER GOODS
192,ENDUSE,CONSUMER GOODS
193,ENDUSE,CONSUMER GOODS
194,ENDUSE,CONSUMER GOODS
195,ENDUSE,CONSUMER GOODS
196,ENDUSE,CONSUMER GOODS
197,ENDUSE,CONSUMER GOODS
198,ENDUSE,CONSUMER GOODS
199,ENDUSE,CONSUMER GOODS
200,ENDUSE,CONSUMER GOODS
201,ENDUSE,CONSUMER GOODS
202,ENDUSE,CONSUMER GOODS
203,ENDUSE,CONSUMER GOODS
204,ENDUSE,CONSUMER GOODS
205,ENDUSE,CONSUMER GOODS
206,ENDUSE,CONSUMER GOODS
207,ENDUSE,CONSUMER GOODS
208,ENDUSE,CONSUMER GOODS
209,ENDUSE,CONSUMER GOODS
210,ENDUSE,OTHER GOODS
211,ENDUSE,OTHER GOODS
212,ENDUSE,OTHER GOODS
213,ENDUSE,OTHER GOODS
214,ENDUSE,OTHER GOODS
215,ENDUSE,OTHER GOODS
216,ENDUSE,OTHER GOODS
217,ENDUSE,OTHER GOODS
218,ENDUSE,OTHER GOODS
219,ENDUSE,OTHER GOODS
220,ENDUSE,OTHER GOODS
221,ENDUSE,OTHER GOODS
222,ENDUSE,OTHER GOODS
223,ENDUSE,OTHER GOODS
224,ENDUSE,OTHER GOODS
225,ENDUSE,OTHER GOODS
226,ENDUSE,OTHER GOODS
227,ENDUSE,OTHER GOODS
228,ENDUSE,OTHER GOODS
229,ENDUSE,OTHER GOODS
230,ENDUSE,OTHER GOODS
231,ENDUSE,OTHER GOODS
232,ENDUSE,OTHER GOODS
233,ENDUSE,OTHER GOODS
234,ENDUSE,OTHER GOODS
235,ENDUSE,OTHER GOODS
236,ENDUSE,OTHER GOODS
237,ENDUSE,OTHER GOODS
238,ENDUSE,OTHER GOODS
239,ENDUSE,OTHER GOODS
240,ENDUSE,OTHER GOODS
241,ENDUSE,OTHER GOODS
242,ENDUSE,OTHER GOODS
243,ENDUSE,OTHER GOODS
244,ENDUSE,OTHER GOODS
245,ENDUSE,OTHER GOODS
246,ENDUSE,OTHER GOODS
247,ENDUSE,OTHER GOODS
248,ENDUSE,OTHER GOODS
249,ENDUSE,OTHER GOODS
250,ENDUSE,OTHER GOODS
251,ENDUSE,OTHER GOODS
252,ENDUSE,OTHER GOODS
253,ENDUSE,"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES"
254,ENDUSE,"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES"
