Date,AK,AL,CA,CT,DC,DE,FL,GA,HI,IL,KY,LA,MA,MD,ME,MI,MN,MS,NC,NH,NJ,NY,OH,OR,PA,PR,RI,SC,TX,VA,VI,WA,WI
2019-01-01,140.0,4872.0,217385.0,448.0,26.0,6179.0,37466.0,56873.0,2925.0,214.0,14.0,14977.0,3376.0,20588.0,359.0,719.0,307.0,3176.0,4483.0,,97999.0,12613.0,20.0,7.0,15897.0,14315.0,,29590.0,46389.0,34020.0,84.0,34506.0,27.0
2019-02-01,166.0,4520.0,180709.0,,28.0,6479.0,38235.0,42652.0,1045.0,990.0,18.0,10112.0,4006.0,16805.0,617.0,125.0,257.0,2153.0,2474.0,2926.0,86781.0,9329.0,12.0,14.0,12656.0,8886.0,,25052.0,37289.0,31496.0,44.0,29491.0,36.0
2019-03-01,119.0,5143.0,164047.0,76.0,19.0,7556.0,38670.0,52893.0,5638.0,63.0,22.0,11562.0,6132.0,19113.0,500.0,64.0,354.0,2498.0,4500.0,1.0,87535.0,8930.0,17.0,7.0,14218.0,13601.0,,28678.0,51230.0,33395.0,47.0,28927.0,22.0
2019-04-01,192.0,5408.0,186709.0,68.0,13.0,7464.0,36484.0,49944.0,5070.0,254.0,20.0,11769.0,3984.0,19474.0,810.0,109.0,383.0,2665.0,3134.0,,90834.0,9813.0,30.0,4.0,16923.0,14734.0,929.0,28385.0,48500.0,37582.0,29.0,31650.0,10.0
2019-05-01,61.0,5104.0,207305.0,,27.0,5801.0,34992.0,53432.0,2928.0,208.0,7.0,15867.0,3651.0,21761.0,603.0,91.0,391.0,2637.0,3491.0,6.0,102178.0,10892.0,246.0,2.0,15380.0,9348.0,1.0,29704.0,45982.0,36015.0,44.0,35228.0,8.0
2019-06-01,198.0,4823.0,190456.0,22.0,14.0,6404.0,35049.0,47916.0,5033.0,1459.0,11.0,13538.0,4166.0,16391.0,411.0,100.0,354.0,2429.0,3175.0,,91605.0,8914.0,102.0,3.0,13903.0,13830.0,38.0,25951.0,48266.0,32911.0,115.0,30023.0,61.0
2019-07-01,211.0,5275.0,217710.0,,28.0,6660.0,35172.0,54974.0,465.0,215.0,11.0,19378.0,3807.0,20761.0,353.0,1281.0,440.0,3968.0,4710.0,,97855.0,11098.0,1097.0,9.0,17437.0,11842.0,32.0,28917.0,44572.0,36414.0,77.0,34040.0,43.0
2019-08-01,128.0,5583.0,202875.0,,26.0,6578.0,34783.0,58294.0,4725.0,62.0,12.0,13810.0,4432.0,19550.0,287.0,191.0,359.0,2381.0,3406.0,,93808.0,10503.0,484.0,177.0,14684.0,14768.0,53.0,30554.0,48202.0,33821.0,37.0,33035.0,694.0
2019-09-01,121.0,6307.0,193146.0,,31.0,5710.0,33003.0,51582.0,2778.0,177.0,20.0,12358.0,3345.0,18429.0,453.0,1250.0,328.0,2617.0,2953.0,,94300.0,9733.0,2876.0,49.0,14381.0,15447.0,2.0,28535.0,42010.0,33442.0,34.0,30863.0,6.0
2019-10-01,161.0,6956.0,190793.0,,39.0,6416.0,37522.0,52885.0,3019.0,264.0,15.0,12956.0,4946.0,18618.0,472.0,360.0,285.0,2529.0,3500.0,,100680.0,10636.0,113.0,4.0,13525.0,16059.0,1952.0,29519.0,44310.0,34049.0,70.0,29876.0,1673.0
