,Date,Port,Weight,TEU
0,2019-01,AK,3377105,140
1,2019-01,AL,116945198,4872
4,2019-01,CA,5217244404,217385
6,2019-01,CT,10767755,448
7,2019-01,DC,637104,26
8,2019-01,DE,148304352,6179
10,2019-01,FL,899196531,37466
11,2019-01,GA,1364971836,56873
12,2019-01,HI,70219124,2925
15,2019-01,IL,5144629,214
18,2019-01,KY,356395,14
19,2019-01,LA,359462493,14977
20,2019-01,MA,81038408,3376
21,2019-01,MD,494121818,20588
22,2019-01,ME,8617021,359
23,2019-01,MI,17278239,719
24,2019-01,MN,7383515,307
26,2019-01,MS,76235385,3176
28,2019-01,NC,107597229,4483
31,2019-01,NH,13434,0
32,2019-01,NJ,2351997031,97999
35,2019-01,NY,302714729,12613
36,2019-01,OH,498833,20
38,2019-01,OR,173256,7
39,2019-01,PA,381533515,15897
40,2019-01,PR,343568708,14315
41,2019-01,RI,17690,0
42,2019-01,SC,710162343,29590
45,2019-01,TX,1113336683,46389
48,2019-01,VA,816489050,34020
49,2019-01,VI,2032705,84
51,2019-01,WA,828162388,34506
52,2019-01,WI,655571,27
54,2019-02,AK,3996720,166
55,2019-02,AL,108492329,4520
58,2019-02,CA,4337026892,180709
61,2019-02,DC,685565,28
62,2019-02,DE,155508426,6479
64,2019-02,FL,917643903,38235
65,2019-02,GA,1023650905,42652
66,2019-02,HI,25100296,1045
69,2019-02,IL,23765847,990
72,2019-02,KY,446913,18
73,2019-02,LA,242691217,10112
74,2019-02,MA,96148961,4006
75,2019-02,MD,403322954,16805
76,2019-02,ME,14823829,617
77,2019-02,MI,3000700,125
78,2019-02,MN,6175384,257
80,2019-02,MS,51674085,2153
82,2019-02,NC,59388541,2474
85,2019-02,NH,70242000,2926
86,2019-02,NJ,2082749180,86781
89,2019-02,NY,223906770,9329
90,2019-02,OH,303733,12
92,2019-02,OR,348427,14
93,2019-02,PA,303751946,12656
94,2019-02,PR,213282465,8886
95,2019-02,RI,4703,0
96,2019-02,SC,601248235,25052
99,2019-02,TX,894944815,37289
102,2019-02,VA,755912995,31496
103,2019-02,VI,1059440,44
105,2019-02,WA,707787762,29491
106,2019-02,WI,883242,36
108,2019-03,AK,2864677,119
109,2019-03,AL,123445408,5143
112,2019-03,CA,3937151392,164047
114,2019-03,CT,1837728,76
115,2019-03,DC,475454,19
116,2019-03,DE,181365261,7556
118,2019-03,FL,928080762,38670
119,2019-03,GA,1269455723,52893
120,2019-03,HI,135334226,5638
123,2019-03,IL,1533607,63
124,2019-03,IN,9184,0
126,2019-03,KY,540889,22
127,2019-03,LA,277511307,11562
128,2019-03,MA,147168940,6132
129,2019-03,MD,458727425,19113
130,2019-03,ME,12000667,500
131,2019-03,MI,1545415,64
132,2019-03,MN,8515563,354
134,2019-03,MS,59961994,2498
136,2019-03,NC,108008421,4500
139,2019-03,NH,28286,1
140,2019-03,NJ,2100846470,87535
143,2019-03,NY,214322202,8930
144,2019-03,OH,413238,17
146,2019-03,OR,189943,7
147,2019-03,PA,341250729,14218
148,2019-03,PR,326429865,13601
150,2019-03,SC,688279838,28678
153,2019-03,TX,1229539756,51230
156,2019-03,VA,801499908,33395
157,2019-03,VI,1131275,47
159,2019-03,WA,694271889,28927
160,2019-03,WI,542124,22
162,2019-04,AK,4614723,192
163,2019-04,AL,129799808,5408
166,2019-04,CA,4481033920,186709
168,2019-04,CT,1647330,68
169,2019-04,DC,326959,13
170,2019-04,DE,179144678,7464
172,2019-04,FL,875622890,36484
173,2019-04,GA,1198657187,49944
174,2019-04,HI,121683700,5070
177,2019-04,IL,6098781,254
180,2019-04,KY,481218,20
181,2019-04,LA,282458598,11769
182,2019-04,MA,95623809,3984
183,2019-04,MD,467392082,19474
184,2019-04,ME,19453602,810
185,2019-04,MI,2626701,109
186,2019-04,MN,9202196,383
188,2019-04,MS,63964209,2665
190,2019-04,NC,75228171,3134
194,2019-04,NJ,2180026589,90834
197,2019-04,NY,235519416,9813
198,2019-04,OH,732508,30
200,2019-04,OR,101288,4
201,2019-04,PA,406175102,16923
202,2019-04,PR,353634147,14734
203,2019-04,RI,22300002,929
204,2019-04,SC,681249246,28385
207,2019-04,TX,1164006038,48500
210,2019-04,VA,901984903,37582
211,2019-04,VI,710211,29
213,2019-04,WA,759612674,31650
214,2019-04,WI,247404,10
216,2019-05,AK,1470324,61
217,2019-05,AL,122503542,5104
220,2019-05,CA,4975323655,207305
223,2019-05,DC,662897,27
224,2019-05,DE,139245296,5801
226,2019-05,FL,839816202,34992
227,2019-05,GA,1282377792,53432
228,2019-05,HI,70281986,2928
231,2019-05,IL,4995113,208
234,2019-05,KY,171917,7
235,2019-05,LA,380818003,15867
236,2019-05,MA,87630478,3651
237,2019-05,MD,522277465,21761
238,2019-05,ME,14481568,603
239,2019-05,MI,2195766,91
240,2019-05,MN,9385705,391
242,2019-05,MS,63295918,2637
244,2019-05,NC,83791484,3491
247,2019-05,NH,161958,6
248,2019-05,NJ,2452292858,102178
251,2019-05,NY,261414462,10892
252,2019-05,OH,5919142,246
254,2019-05,OR,57463,2
255,2019-05,PA,369130943,15380
